Category	Variants	Gene
Splice-altering	1	CD33
Splice-altering	1	CD36
Splice-altering	1	CD40LG
Splice-altering	1	CD46
Splice-altering	1	CD53
Splice-altering	1	CD55
Splice-altering	1	CD63
Splice-altering	1	CD81
Splice-altering	1	CD82
Splice-altering	1	CDC14B
Splice-altering	1	CDC27
Splice-altering	1	CDC37
Splice-altering	1	CDC42BPA
Splice-altering	1	CDC42EP1
Splice-altering	1	CDC45
Splice-altering	1	CDCA7
Splice-altering	1	CDCA7L
Splice-altering	1	CDH11
Splice-altering	1	CDH17
Splice-altering	1	CDH22
Splice-altering	1	CDH26
Splice-altering	1	CDHR5
Splice-altering	1	CDK10
Splice-altering	1	CDK17
Splice-altering	1	CDK2
Splice-altering	1	CDK2AP2
Splice-altering	1	CDK5RAP1
Splice-altering	1	CDK8
Splice-altering	1	CDK9
Splice-altering	1	CDKN2B
Splice-altering	1	CDT1
Splice-altering	1	CEACAM1
Splice-altering	1	CEACAM6
Splice-altering	1	CEBPZ
Splice-altering	1	CEBPZOS
Splice-altering	1	CELSR1
Splice-altering	1	CENPF
Splice-altering	1	CENPH
Splice-altering	1	CENPL
Splice-altering	1	CENPM
Splice-altering	1	CENPN
Splice-altering	1	CENPT
Splice-altering	1	CEP104
Splice-altering	1	CEP128
Splice-altering	1	CEP131
Splice-altering	1	CEP170
Splice-altering	1	CEP170B
Splice-altering	1	CEP250
Splice-altering	1	CEP55
Splice-altering	1	CEP68
Splice-altering	1	CEP72
Splice-altering	1	CEP85
Splice-altering	1	CEP95
Splice-altering	1	CEPT1
Splice-altering	1	CERK
Splice-altering	1	CERNA1
Splice-altering	1	CERS3
Splice-altering	1	CERS6
Splice-altering	1	CES5A
Splice-altering	1	CETN2
Splice-altering	1	CFAP298-TCP10L
Splice-altering	1	CFAP36
Splice-altering	1	CFAP410
Splice-altering	1	CFAP44
Splice-altering	1	CFAP69
Splice-altering	1	CFAP73
Splice-altering	1	CFAP97
Splice-altering	1	CFDP1
Splice-altering	1	CFI
Splice-altering	1	CGAS
Splice-altering	1	CHCHD6
Splice-altering	1	CHCHD7
Splice-altering	1	CHD9
Splice-altering	1	CHEK1
Splice-altering	1	CHERP
Splice-altering	1	CHFR
Splice-altering	1	CHIC2
Splice-altering	1	CHKA
Splice-altering	1	CHMP1A
Splice-altering	1	CHMP2A
Splice-altering	1	CHMP3
Splice-altering	1	CHMP4B
Splice-altering	1	CHMP7
Splice-altering	1	CHN2
Splice-altering	1	CHRAC1
Splice-altering	1	CHRM5
Splice-altering	1	CHST8
Splice-altering	1	CHTOP
Splice-altering	1	CHURC1
Splice-altering	1	CIAO1
Splice-altering	1	CIAPIN1
Splice-altering	1	CIART
Splice-altering	1	CIBAR1
Splice-altering	1	CILP2
Splice-altering	1	CIRBP
Splice-altering	1	CISD2
Splice-altering	1	CKAP2L
Splice-altering	1	CKMT1B
Splice-altering	1	CLASP2
Splice-altering	1	CLCN2
Splice-altering	1	CLCN6
Splice-altering	1	CLDN10
Splice-altering	1	CLDN19
Splice-altering	1	CLDN4
Splice-altering	1	CLDND1
Splice-altering	1	CLEC16A
Splice-altering	1	CLEC4A
Splice-altering	1	CLGN
Splice-altering	1	CLHC1
Splice-altering	1	CLIC5
Splice-altering	1	CLIP1
Splice-altering	1	CLIP4
Splice-altering	1	CLK4
Splice-altering	1	CLN3
Splice-altering	1	CLNK
Splice-altering	1	CLOCK
Splice-altering	1	CLP1
Splice-altering	1	CLPB
Splice-altering	1	CLPP
Splice-altering	1	CLRN1
Splice-altering	1	CLSTN3
Splice-altering	1	CLTA
Splice-altering	1	CLYBL
Splice-altering	1	CMC2
Splice-altering	1	CMC4
Splice-altering	1	CMSS1
Splice-altering	1	CMTM3
Splice-altering	1	CMTM6
Splice-altering	1	CNBP
Splice-altering	1	CNGB3
Splice-altering	1	CNKSR2
Splice-altering	1	CNKSR3
Splice-altering	1	CNOT2
Splice-altering	1	CNOT6
Splice-altering	1	CNOT7
Splice-altering	1	CNPY3
Splice-altering	1	CNST
Splice-altering	1	CNTD1
Splice-altering	1	CNTN1
Splice-altering	1	COA1
Splice-altering	1	COA4
Splice-altering	1	COASY
Splice-altering	1	COG8
Splice-altering	1	COL17A1
Splice-altering	1	COL20A1
Splice-altering	1	COL4A6
Splice-altering	1	COLEC12
Splice-altering	1	COLGALT1
Splice-altering	1	COMETT
Splice-altering	1	COMMD6
Splice-altering	1	COPS6
Splice-altering	1	COPS7A
Splice-altering	1	COQ3
Splice-altering	1	COQ8B
Splice-altering	1	COX16
Splice-altering	1	COX6A1
Splice-altering	1	COX6B1
Splice-altering	1	COX7A2
Splice-altering	1	COX7B
Splice-altering	1	COX8A
Splice-altering	1	CPAMD8
Splice-altering	1	CPB1
Splice-altering	1	CPD
Splice-altering	1	CPE
Splice-altering	1	CPEB4
Splice-altering	1	CPED1
Splice-altering	1	CPLANE1
Splice-altering	1	CPSF3
Splice-altering	1	CPSF6
Splice-altering	1	CPSF7
Splice-altering	1	CPXM2
Splice-altering	1	CRABP1
Splice-altering	1	CRACD
Splice-altering	1	CRACDL
Splice-altering	1	CRADD
Splice-altering	1	CRAT
Splice-altering	1	CRCP
Splice-altering	1	CREB1
Splice-altering	1	CREB3L1
Splice-altering	1	CREB3L4
Splice-altering	1	CRELD1
Splice-altering	1	CRIP1
Splice-altering	1	CRIP2
Splice-altering	1	CRISPLD1
Splice-altering	1	CRLF1
Splice-altering	1	CRMP1
Splice-altering	1	CRNKL1
Splice-altering	1	CROCCP2
Splice-altering	1	CRTC3
Splice-altering	1	CRY2
Splice-altering	1	CRYBA1
Splice-altering	1	CRYBG1
Splice-altering	1	CRYZ
Splice-altering	1	CSAD
Splice-altering	1	CSMD1
Splice-altering	1	CSNK1A1
Splice-altering	1	CSNK1D
Splice-altering	1	CSRNP1
Splice-altering	1	CSRP3
Splice-altering	1	CST6
Splice-altering	1	CSTF2
Splice-altering	1	CTBP1
Splice-altering	1	CTBP2
Splice-altering	1	CTDNEP1
Splice-altering	1	CTDSP1
Splice-altering	1	CTDSP2
Splice-altering	1	CTHRC1
Splice-altering	1	CTNS
Splice-altering	1	CTSA
Splice-altering	1	CTSB
Splice-altering	1	CTSC
Splice-altering	1	CTSV
Splice-altering	1	CUL4A
Splice-altering	1	CWC15
Splice-altering	1	CWF19L1
Splice-altering	1	CXCL1
Splice-altering	1	CXXC1
Splice-altering	1	CYB561
Splice-altering	1	CYB5B
Splice-altering	1	CYB5D2
Splice-altering	1	CYB5R4
Splice-altering	1	CYBB
Splice-altering	1	CYBRD1
Splice-altering	1	CYFIP2
Splice-altering	1	CYGB
Splice-altering	1	CYP11A1
Splice-altering	1	CYP27A1
Splice-altering	1	CYP2C18
Splice-altering	1	CYP2R1
Splice-altering	1	CYP2S1
Splice-altering	1	CYP4A11
Splice-altering	1	CYP4F11
Splice-altering	1	CYP4F3
Splice-altering	1	CYP4X1
Splice-altering	1	CYRIA
Splice-altering	1	CYTH3
Splice-altering	1	D2HGDH
Splice-altering	1	DAAM1
Splice-altering	1	DACT1
Splice-altering	1	DAD1
Splice-altering	1	DAP3
Splice-altering	1	DAPP1
Splice-altering	1	DAZAP2
Splice-altering	1	DBF4
Splice-altering	1	DBNDD2
Splice-altering	1	DBNL
Splice-altering	1	DBT
Splice-altering	1	DCAF13
Splice-altering	1	DCAF4
Splice-altering	1	DCAF8
Splice-altering	1	DCBLD2
Splice-altering	1	DCK
Splice-altering	1	DCLK2
Splice-altering	1	DCLRE1C
Splice-altering	1	DCP1B
Splice-altering	1	DCTN4
Splice-altering	1	DCUN1D1
Splice-altering	1	DCXR
Splice-altering	1	DDB2
Splice-altering	1	DDHD1
Splice-altering	1	DDOST
Splice-altering	1	DDX10
Splice-altering	1	DDX11
Splice-altering	1	DDX18
Splice-altering	1	DDX20
Splice-altering	1	DDX21
Splice-altering	1	DDX39B
Splice-altering	1	DDX42
Splice-altering	1	DDX49
Splice-altering	1	DDX50
Splice-altering	1	DDX6
Splice-altering	1	DEF8
Splice-altering	1	DELE1
Splice-altering	1	DENND1B
Splice-altering	1	DENND2D
Splice-altering	1	DENND4A
Splice-altering	1	DENND4C
Splice-altering	1	DENND5B
Splice-altering	1	DENND6B
Splice-altering	1	DERL3
Splice-altering	1	DET1
Splice-altering	1	DFFA
Splice-altering	1	DGCR2
Splice-altering	1	DGCR6L
Splice-altering	1	DGCR8
Splice-altering	1	DGKD
Splice-altering	1	DHCR7
Splice-altering	1	DHFR
Splice-altering	1	DHODH
Splice-altering	1	DHRS1
Splice-altering	1	DHRS12
Splice-altering	1	DHRS2
Splice-altering	1	DHRSX
Splice-altering	1	DHX33
Splice-altering	1	DHX36
Splice-altering	1	DIRC3
Splice-altering	1	DIS3L
Splice-altering	1	DKC1
Splice-altering	1	DLC1
Splice-altering	1	DLEU2
Splice-altering	1	DLG2
Splice-altering	1	DLG4
Splice-altering	1	DLGAP4
Splice-altering	1	DLGAP5
Splice-altering	1	DLL3
Splice-altering	1	DMBT1
Splice-altering	1	DMC1
Splice-altering	1	DMTN
Splice-altering	1	DMXL1
Splice-altering	1	DMXL2
Splice-altering	1	DNA2
Splice-altering	1	DNAAF1
Splice-altering	1	DNAH1
Splice-altering	1	DNAH10
Splice-altering	1	DNAH10OS
Splice-altering	1	DNAH2
Splice-altering	1	DNAH3
Splice-altering	1	DNAH5
Splice-altering	1	DNAI3
Splice-altering	1	DNAJA1
Splice-altering	1	DNAJA2
Splice-altering	1	DNAJA4
Splice-altering	1	DNAJB11
Splice-altering	1	DNAJB2
Splice-altering	1	DNAJC1
Splice-altering	1	DNAJC15
Splice-altering	1	DNAJC2
Splice-altering	1	DNAJC21
Splice-altering	1	DNAJC24
Splice-altering	1	DNAJC4
